                                                ENERGY (CM^2)
     UTC      Hs  Tp                 BAND PERIOD LIMITS (SECS)
YYYYMMDDHHMM (CM) (SEC) 22+ 22-18  18-16  16-14  14-12  12-10   10-8    8-6    6-2
202005030900  131  7     0      1      3     57     57     82    153    372    359
202005030930  124  4     0      2      6     35     54     82    132    328    337
202005031000  123  4     0      3      8     23     52     70    150    296    366
202005031030  135  4     0      1      6     43     67     93    202    354    374
202005031100  138  7     0      2      9     39     49    110    164    463    358
202005031130  141  7     0      2      6     64     90     72    156    498    355
202005031200  135  7     0      2      5     55     87     92    191    403    299
202005031230  132  7     0      1      8     37     51    119    195    374    314
202005031300  147  7     0      1      5     55     98    125    147    513    408
202005031330  136  7     0      2      3     45     79     78    151    492    314
202005031400  129  7     0      1      5     24     63    137    139    361    320
202005031430  137  7     0      1      5     68    104    140    184    395    291
202005031500  131  7     0      1      4     31     91     84     97    448    319
202005031530  131  7     1      1      6     32     67    129    131    423    280
202005031600  125  7     0      1      2     30     69     88    117    419    261
202005031630  131  7     0      1      9     49    102     83    151    419    257
202005031700  120  7     0      1      5     36    100     70    101    326    268
202005031730  128  7     0      1      6     35    106     82     68    458    273
202005031800  127  7     0      1      4     84    110     91     97    331    301
202005031830  119  7     0      1      7     40     87     77    102    314    271
202005031900  123  7     0      1      4     35     90     89    112    357    269
202005031930  118  7     0      1      7     28    105    108    101    298    236
202005032000  115  7     0      1      4     31     88     90    102    298    217
202005032030  121  7     0      1      7     43     96    107    134    307    228
202005032100  125  7     0      1      4     41    106    113    137    304    276
202005032130  131  7     0      1      6     42     83    119    166    372    286
202005032200  133  7     0      1     11     41    101    136    163    366    285
202005032230  133  7     1      1      6     34    136    156    101    373    310
202005032300  121  4     0      2      5     39    148     99    114    232    276
202005032330  128  4     0      1      5     20    150    108    141    283    317
202005040000  125  7     1      1      5     29    135    103    135    305    276
202005040030  132  4     1      1      3     47    173    158    141    263    313
202005040100  125  4     0      1      4     41     95    140     76    265    350
202005040130  123  4     1      1      6     42    150    111     99    210    339
202005040200  126  4     0      1      3     25    190    187     95    211    283
202005040230  124  4     1      1      3     38    103    140     94    243    340
202005040300  122  4     0      1      6     33     94    128    112    239    323
202005040330  127  4     0      1      7     43     99    138    115    248    362
202005040400  117  4     0      1      5     24     80    122     73    189    364
202005040430  114  4     0      2      6     42     93     85     59    164    360
202005040500  116  4     0      1      3     35     88    119     69    143    385
202005040530  108  4     0      1      8     19     50     56     63    171    361
202005040600  109  4     1      1      4     27     54     60     70    163    370
202005040630  113  4     1      1      3     21     82     84     99    190    322
202005040700  113  4     0      2      6     25     78     71     90    246    279
202005040730  117  4     1      1      3     26     72     93    111    229    330
202005040800  117  4     0      1      5     46     54     82    119    252    293
202005040830  115  4     0      1      2     22     71     64    147    242    295
202005040900  118  4     0      1      3     12     92     80    113    257    317
