attachment_version,description,status,platform,moored,timestamp,year,month,day,hour,minute,second,latitude,longitude,gps_altitude,vector_averaged_wind_direction,vector_averaged_wind_speed,minimum_wind_speed_over_averaging_period,maximum_wind_speed_over_averaging_period,wind_speed_at_10m,air_temperature,water_temperature,relative_humidity,wind_chill,heat_index,dew_frost_point,barometric_pressure,altimeter_setting,sea_level_pressure,pressure_altitude,density_altitude,wxt520_internal_temperature,rain_accumulation,three_hour_rain_accumulation,six_hour_rain_accumulation,twenty_four_hour_rain_accumulation,rain_duration,rain_intensity,rain_peak_intensity,hail_accumulation,hail_duration,hail_intensity,firmware_version,reporting_interval,cf2_epoch,system_voltage_measured_at_cf2,gps_epoch,gps_latitude,gps_longitude,gps_fix_quality_indicator,number_of_satellites_used_for_gps,pitch,roll,pitch_maximum,roll_maximum,compass_relative_magnitude,average_compass_heading,sbd_timestamp,sbd_latitude,sbd_longitude
2.1,CalCOFI Line 90 (Magnus),deployed,Wave Glider,--,1593556814,2020,06,30,22,40,14,32.86719,-117.26081,3.1,266.99,8.26,5.64,11.47,10.07,19.20,,73.70,,,14.41,29.91,29.91,,10.40,732.27,20.40,0.0126,,,,830.00,0.0000,0.1811,0.00,0.00,0.00,2.04,10,1593556601,15.26,1593556112,32.86719,-117.26081,2,10,1.04,0.22,7.8,4.4,6765,316.8,1593556814,32.87712,-117.23459
2.1,CalCOFI Line 90 (Magnus),deployed,Wave Glider,--,1593557641,2020,06,30,22,54,01,32.86955,-117.26112,3.8,266.46,8.67,5.05,12.05,10.57,19.30,,72.30,,,14.21,29.90,29.90,,19.64,752.64,20.30,0.0126,,,,850.00,0.0000,0.1811,0.00,0.00,0.00,2.04,10,1593557373,15.26,1593556884,32.86955,-117.26112,2,10,1.50,0.21,6.6,4.9,6082,327.2,1593557641,32.86815,-117.27261
2.1,CalCOFI Line 90 (Magnus),deployed,Wave Glider,--,1593558421,2020,06,30,23,07,01,32.87182,-117.26247,3.8,269.11,7.81,4.47,12.05,9.53,19.30,,73.30,,,14.42,29.90,29.90,,19.64,755.50,20.20,0.0126,,,,850.00,0.0000,0.1811,0.00,0.00,0.00,2.04,10,1593558145,15.26,1593557716,32.87182,-117.26247,2,10,0.38,0.15,5.2,5.5,4159,184.7,1593558421,32.87712,-117.23459
2.1,CalCOFI Line 90 (Magnus),deployed,Wave Glider,--,1593559188,2020,06,30,23,19,48,32.87034,-117.26100,2.6,277.76,8.96,5.64,12.83,10.93,19.30,,73.30,,,14.42,29.90,29.90,,19.64,755.50,20.10,0.0126,,,,900.00,0.0000,0.1811,0.00,0.00,0.00,2.04,10,1593558977,15.26,1593558487,32.87034,-117.26100,2,10,1.13,0.26,7.3,5.8,4493,299.6,1593559188,32.91648,-115.95269
2.1,CalCOFI Line 90 (Magnus),deployed,Wave Glider,--,1593559953,2020,06,30,23,32,33,32.87065,-117.26297,3.9,259.30,7.68,3.89,10.89,9.36,19.30,,72.80,,,14.31,29.90,29.90,,19.64,754.07,20.10,0.0126,,,,900.00,0.0000,0.1811,0.00,0.00,0.00,2.04,10,1593559747,15.26,1593559259,32.87065,-117.26297,2,9,1.21,0.22,8.4,6.3,6459,0.9,1593559953,32.85970,-117.21503
2.1,CalCOFI Line 90 (Magnus),deployed,Wave Glider,--,1593560733,2020,06,30,23,45,33,32.87199,-117.26214,4.7,286.50,8.92,5.83,12.05,10.88,19.20,,72.20,,,14.09,29.89,29.89,,28.90,750.88,20.00,0.0126,,,,920.00,0.0000,0.1811,0.00,0.00,0.00,2.04,10,1593560520,15.26,1593560030,32.87199,-117.26214,2,8,1.10,0.20,5.7,7.1,6542,301.0,1593560733,32.87712,-117.23459
2.1,CalCOFI Line 90 (Magnus),deployed,Wave Glider,--,1593561504,2020,06,30,23,58,24,32.87347,-117.26527,4.4,282.43,8.75,6.03,11.86,10.67,19.20,,72.30,,,14.11,29.89,29.89,,28.90,751.17,19.80,0.0130,,,,960.00,0.0000,0.1811,0.00,0.00,0.00,2.04,10,1593561291,15.26,1593560802,32.87347,-117.26527,2,9,1.23,0.24,7.5,6.5,6388,303.1,1593561504,32.87712,-117.23459
2.1,CalCOFI Line 90 (Magnus),deployed,Wave Glider,--,1593562278,2020,07,01,00,11,18,32.87472,-117.26824,4.5,277.88,9.21,5.64,12.83,11.23,19.10,,75.10,,,14.60,29.89,29.89,,28.90,746.18,19.80,0.0142,,,,1000.00,0.0000,0.1811,0.00,0.00,0.00,2.04,10,1593562063,15.26,1593561574,32.87472,-117.26824,2,9,1.28,0.23,6.4,6.8,6533,303.9,1593562278,32.86815,-117.27261
2.1,CalCOFI Line 90 (Magnus),deployed,Wave Glider,--,1593563048,2020,07,01,00,24,08,32.87628,-117.27168,2.1,281.16,9.12,6.22,13.61,11.12,19.10,,76.50,,,14.89,29.89,29.89,,28.90,750.13,19.80,0.0142,,,,1010.00,0.0000,0.1811,0.00,0.00,0.00,2.04,10,1593562836,15.26,1593562346,32.87628,-117.27168,2,12,1.45,0.21,5.5,7.3,6602,304.2,1593563048,32.87712,-117.23459
2.1,CalCOFI Line 90 (Magnus),deployed,Wave Glider,--,1593563880,2020,07,01,00,38,00,32.87777,-117.27508,3.4,276.76,9.47,6.03,12.44,11.54,18.90,,77.60,,,14.92,29.89,29.89,,28.90,727.26,19.70,0.0142,,,,1010.00,0.0000,0.1811,0.00,0.00,0.00,2.04,10,1593563607,15.26,1593563118,32.87777,-117.27508,2,12,1.35,0.29,10.3,6.3,6795,304.6,1593563880,32.86815,-117.27261
2.1,CalCOFI Line 90 (Magnus),deployed,Wave Glider,--,1593564655,2020,07,01,00,50,55,32.87935,-117.27863,3.6,272.81,7.85,4.67,11.47,9.57,18.80,,78.50,,,15.00,29.89,29.89,,28.90,716.76,19.40,0.0142,,,,1070.00,0.0039,0.1811,0.00,0.00,0.00,2.04,10,1593564379,15.26,1593563951,32.87935,-117.27863,2,12,1.26,0.23,5.8,6.8,6742,304.7,1593564655,32.86815,-117.27261
2.1,CalCOFI Line 90 (Magnus),deployed,Wave Glider,--,1593565486,2020,07,01,01,04,46,32.88075,-117.28203,3.2,286.71,7.19,4.47,9.91,8.77,18.90,,76.60,,,14.72,29.89,29.89,,28.90,724.46,19.30,0.0142,,,,1090.00,0.0000,0.1811,0.00,0.00,0.00,2.04,10,1593565212,15.26,1593564723,32.88075,-117.28203,2,11,1.24,0.18,7.3,4.9,6768,307.4,1593565486,32.86815,-117.27261
2.1,CalCOFI Line 90 (Magnus),deployed,Wave Glider,--,1593566258,2020,07,01,01,17,38,32.88235,-117.28550,2.6,288.94,8.20,5.83,10.69,10.00,18.90,,75.60,,,14.51,29.89,29.89,,28.90,721.67,19.40,0.0142,,,,1100.00,0.0000,0.1811,0.00,0.00,0.00,2.04,10,1593565984,15.26,1593565556,32.88235,-117.28550,2,12,1.27,0.18,6.1,7.6,6625,305.6,1593566258,32.86815,-117.27261
2.1,CalCOFI Line 90 (Magnus),deployed,Wave Glider,--,1593567033,2020,07,01,01,30,33,32.88390,-117.28908,-0.3,288.93,8.20,5.05,11.66,10.00,18.90,,76.80,,,14.76,29.89,29.89,,28.90,725.02,19.40,0.0142,,,,1130.00,0.0000,0.1811,0.00,0.00,0.00,2.04,10,1593566818,15.26,1593566328,32.88390,-117.28908,2,10,1.26,0.15,6.9,6.4,6734,307.3,1593567033,32.91937,-117.92397
2.1,CalCOFI Line 90 (Magnus),deployed,Wave Glider,--,1593568699,2020,07,01,01,58,19,32.88708,-117.29618,-0.4,270.90,6.18,3.11,9.72,7.54,18.80,,75.40,,,14.37,29.89,29.89,,28.90,708.16,19.20,0.0142,,,,1160.00,0.0000,0.1811,0.00,0.00,0.00,2.04,10,1593568363,15.26,1593567875,32.88708,-117.29618,2,11,1.21,0.16,7.0,6.2,6802,309.4,1593568699,32.91587,-117.29221
