                                                ENERGY (CM^2)
     UTC      Hs  Tp                 BAND PERIOD LIMITS (SECS)
YYYYMMDDHHMM (CM) (SEC) 22+ 22-18  18-16  16-14  14-12  12-10   10-8    8-6    6-2
202007030900   99 15    29     50     17    141     70     57     67     79    100
202007030930  103  9    25     75     17    101     86     52    115    106     94
202007031000  107 20    35    152     42    124     61     45     90     83     97
202007031030  105 20    39    127     46     90     73     39     73    107     95
202007031100  107 20    40    140     17     86     59     51     92    114    126
202007031130  107  4    37    101     31    109     82     44     74     93    147
202007031200   99  4    18     69     25    114     61     31     52    105    131
202007031230  111 15    28    118     29    200     90     38     71     78    117
202007031300  119 20    76    280     30    119     65     42     68     93    119
202007031330  114 20    47    200     22    143    100     43     75     86    100
202007031400  101 20    29    150     14     72     73     43     61     88    107
202007031430  116 20    35    275     23    127     65     47     79     81    102
202007031500  114 20    29    308     25     83     78     48     69     75    102
202007031530  111 20    30    230     39     81     88     51     58     96    102
202007031600  105 20    28    174     18    100     90     39     62     80     95
202007031630  113 20    18    259     23    118     58     52     69    103    106
202007031700  114 20    23    261     30    114     83     54     53    100     93
202007031730  122 20    57    355     36    116     64     60     58    103     87
202007031800  129 20    46    468     35     91    104     66     55     76     92
202007031830  139 20    39    618     82    109     87     65     57     57     89
202007031900  138 20    40    667     73     75     57     70     71     52     81
202007031930  148 20    50    728    162     68     89     64     83     46     83
202007032000  119 20    19    358     49     89    132     54     51     50     77
202007032030  126 20    15    410     77    120     70     61     67     82     78
202007032100  134 20    40    577    103     76     61     63     67     49     73
202007032130  153 20    26    829    171    100     52     61     55     76     93
202007032200  141 20    42    654    109     92     68     50     51     72     89
202007032230  156 20    23    855    208    108     45     46     69     66     97
202007032300  135 20    18    507    160     97     69     44     42     69    118
202007032330  128 20    23    430    110     72     54     50     59     56    155
202007040000  134 20    15    526    168     61     65     41     37     57    139
202007040030  184 20    43   1269    364     75     70     43     33     46    164
202007040100  132 20    13    494    133     87     76     32     31     55    166
202007040130  156 20    33    750    315     56     92     38     37     48    149
202007040200  138 20    18    515    184     70     71     51     39     44    189
202007040230  155 20    30    718    310     82     60     38     36     37    184
202007040300  122 20     7    314     97     68     57     57     34     56    240
202007040330  179 20    22   1052    355     81     95     47     49     69    221
202007040400  162 20    30    728    317     41     58     67     57     69    261
202007040430  154 20    21    620    238     92     47     47     59     92    273
202007040500  197 20    31   1136    514    114     52     60     71     84    360
202007040530  196 20    61   1067    558     76     85     73     72     88    331
202007040600  181 20    25    877    467     77     44     68     66     88    346
202007040630  174 20    23    702    549     52     87     72     52     67    295
202007040700  140  4    16    328    197     68     56    117     52     53    335
202007040730  155 20    26    505    402     52     67     66     66     42    277
202007040800  158 20    24    526    453     65     52     68     58     45    273
202007040830  160 20    20    575    437     86     58     66     67     45    245
202007040900  142 20    20    390    312     85     48     53     69     52    229
202007040930  174 20    31    845    566     51     55     54     68     32    205
202007041000  138 17     9    270    308     68     57     72     91     51    260
202007041030  147 20    26    449    358     64     72     49     69     61    201
202007041100  148 20    23    418    408     79     56     74     65     62    191
202007041130  133 17     7    221    425     71     42     42     57     62    181
202007041200  151 17    18    456    520     58     33     47     63     50    190
202007041230  157 17    17    393    621     93     52     46     66     78    172
202007041300  152 17     6    406    611     46     37     46     70     54    161
202007041330  174 17    13    561    857     88     71     36     60     63    150
202007041400  147 17    13    406    504     90     47     39     52     51    149
202007041430  140 17    15    223    563     65     45     46     53     58    154
202007041500  158 17    11    421    691     99     48     34     67     62    127
202007041530  178 17    30    520    902    116     78     30     77     72    155
202007041600  151 17    15    293    701     65     52     39     57     56    148
202007041630  145 17    13    314    537    138     42     37     39     58    144
202007041700  134 17    10    259    398    124     44     29     44     37    176
202007041730  159 17    16    284    839    124     39     40     41     30    157
202007041800  160 17    10    374    728    171     48     41     44     29    145
202007041830  161 17    15    436    592    259     58     52     49     21    132
202007041900  138 17    10    243    453    206     39     33     54     30    125
202007041930  127 17     6    250    364     89     61     32     36     34    125
202007042000  151 17     7    283    629    189     50     41     43     29    141
202007042030  163 17    11    298    895    138     46     35     50     31    154
202007042100  179 17    14    435    876    306     79     38     55     38    146
202007042130  175 17    10    256    898    402     63     35     62     35    126
202007042200  170 17    10    218    950    279     60     32     63     49    127
202007042230  171 17     7    262    743    458     52     39     59     48    140
202007042300  159 17    11    274    762    154     63     32     87     59    126
202007042330  162 17     8    212    666    415     56     31     55     68    123
202007050000  150 17     8    124    788    120     61     32     60     80    118
202007050030  135 17     3     65    423    300     39     30     65     66    136
202007050100  130 17     5     83    413    214     37     26     55     73    138
202007050130  134 17     4     97    420    203     48     24     49     98    170
202007050200  134 17     7    141    377    205     63     18     54     96    162
202007050230  150 17     7    151    612    227     59     24     35     75    200
202007050300  142 17     5     91    459    288     47     27     44     74    214
202007050330  145 17     6    106    446    298     63     25     46     95    216
202007050400  145 17     5     98    475    250     51     22     73     92    236
202007050430  131  4     6    104    271    159     50     21     65    106    282
202007050500  127  4     4     47    260    163     41     24     75    103    292
202007050530  152 17     7    145    427    347     51     30     56    111    272
202007050600  148 15     7     91    368    379     39     20     53    107    310
202007050630  132 17     3     47    322    252     47     17     34     75    291
202007050700  138 17     7     56    461    186     53     20     50     73    286
202007050730  135 15     4     55    271    343     63     26     44     69    258
202007050800  148 17    10    110    602    202     52     24     38     62    268
202007050830  134 15     5     54    266    322     62     13     35     63    300
202007050900  140 17     6     74    455    231     55     23     45     72    262
202007050930  135 17     6     48    422    259     58     19     46     65    212
202007051000  144 17     5     28    458    384     60     19     49     79    208
202007051030  155 15     4     48    464    606     61     16     30     81    181
202007051100  137 15     5     63    240    470     58     19     63     56    191
202007051130  133 15     4     45    232    421    123     26     38     64    157
202007051200  112 15     2     30    152    232     62     16     65     75    147
202007051230  139 15     3     33    367    407     87     17     45    103    140
202007051300  129 17     4     20    357    279     86     19     50    103    122
202007051330  129 17     3     30    338    316     75     24     32     84    140
202007051400  128 15     2     26    189    480     64     24     39     63    128
202007051430  116 15     3     27    171    328     73     17     32     73    113
202007051500  133 15     5     21    337    416     98     18     36     52    119
202007051530  119 15     4     23    186    361     85     15     26     71    104
202007051600  108 15     3     15    154    251     94     15     31     65     99
