                                                ENERGY (CM^2)
     UTC      Hs  Tp                 BAND PERIOD LIMITS (SECS)
YYYYMMDDHHMM (CM) (SEC) 22+ 22-18  18-16  16-14  14-12  12-10   10-8    8-6    6-2
202007030900   89 15    51     77     18    112     47     39     23     26    107
202007030930  100 15    35     58     51    223     73     21     20     28    113
202007031000   96 20    72    148     25    107     53     25     20     28    104
202007031030   93 15    36     86     26    122     84     33     24     23    105
202007031100   88 15    28     51     25    134     68     24     27     31     99
202007031130   90 20    36    108     17     85     73     35     36     32     81
202007031200   87 20    29    105     17     74     76     24     25     31     95
202007031230  103 20    57    217     34    120     52     23     29     34     92
202007031300  103 20    73    213     23     80     63     40     34     42    102
202007031330  103 20    26    176     28    165     75     44     39     31     80
202007031400   94 20    61    122     16    100     73     29     37     39     74
202007031430  104 20    41    249     19    123     53     39     25     46     76
202007031500   93 20    35    168     17     75     54     27     34     47     81
202007031530  104 20    31    270     27     78     70     44     37     50     74
202007031600  102 20    31    263     34     85     60     32     35     35     85
202007031630  104 20    26    221     39    143     70     34     27     30     82
202007031700   85 20    16    124     22     77     50     25     26     35     76
202007031730  128 20    34    565     86     88     77     47     27     25     71
202007031800  120 20    27    480     68     58     93     36     23     25     85
202007031830  107 20    16    355     46     79     59     41     23     27     73
202007031900  119 20    25    500     38     62     70     44     29     28     84
202007031930   98 20    23    150     39    137     84     30     24     32     73
202007032000   92 20    12    179     27    104     54     30     30     28     70
202007032030  122 20    18    437    102    119     94     22     19     33     79
202007032100   95 20    22    229     45     49     54     23     34     23     81
202007032130   95 20    10    163     28    127     57     41     26     32     80
202007032200  144 20    32    682    162    118     97     31     32     29    105
202007032230  108 20    16    307     62     75     75     31     23     34    102
202007032300   93 20     4    175     34     59     54     27     25     31    121
202007032330  126 20    14    528     96     64     63     40     31     34    117
202007040000  150 20    28    809    184     77     88     27     28     24    132
202007040030  125 20    16    477    104     87     57     29     25     28    150
202007040100  146 20    31    612    201    152     68     24     27     32    171
202007040130  108 20    20    241    102     49     56     29     24     28    170
202007040200  120 20    15    318     64     69    116     38     33     30    209
202007040230  155 20    21    732    256     87     64     29     45     31    220
202007040300  157 20    15    828    182    108     49     24     30     28    266
202007040330  139 20    35    457    226     58     51     26     35     32    285
202007040400  163 20    29    809    302     61     71     28     27     29    303
202007040430  150 20    28    553    271     98     55     20     46     32    304
202007040500  148 20    25    560    225     98     73     33     40     32    278
202007040530  135 20    11    393    239     56     59     28     27     21    305
202007040600  165 20    34    759    390     56     67     35     29     23    305
202007040630  212 20    64   1459    796     77     60     23     27     24    269
202007040700  150 20    32    664    323     34     64     28     23     19    212
202007040730  131 20    13    400    222     92     44     35     28     22    212
202007040800  170 20    27    850    545     86     49     28     29     19    176
202007040830  152 20    17    601    469     48     44     31     27     24    187
202007040900  131 20    12    375    333     81     37     21     24     19    168
202007040930  156 20    22    669    461     54     49     32     27     31    175
202007041000  158 20    24    704    466     63     59     31     25     30    162
202007041030  140 20    18    475    364     75     53     35     22     25    152
202007041100  192 20    29   1105    768    102     76     26     35     34    136
